"","ppm","x","y","z","t","s16","forward","back","right","left","up","s_name","svm","test_svm"
"1",0.096,110,65,0,1,0.096,1,0,0,0,0,"s1",0.2,-0.104
"2",0.172,110,65,0,2,0.172,1,0,0,0,0,"s1",0.2,-0.028
"3",0.285,110,65,0,3,0.285,1,0,0,0,0,"s1",0.2,0.085
"4",0.432,110,65,0,4,0.432,1,0,0,0,0,"s1",0.269216124771866,0.162783875228134
"5",0.609,110,65,0,5,0.609,1,0,0,0,0,"s1",0.426622928271293,0.182377071728707
"6",0.81,110,65,0,6,0.81,1,0,0,0,0,"s1",0.627238453458927,0.182761546541073
"7",1.033,110,65,0,7,1.033,1,0,0,0,0,"s1",0.849904264804085,0.183095735195915
"8",1.272,110,65,0,8,1.272,1,0,0,0,0,"s1",1.08910731344287,0.182892686557134
"9",1.52,110,65,0,9,1.52,1,0,0,0,0,"s1",1.33726658039734,0.18273341960266
"10",1.768,110,65,0,10,1.768,1,0,0,0,0,"s1",1.58435560954842,0.183644390451577
"11",1.768,110,65,0,11,1.768,1,0,0,0,0,"s1",1.58813576676566,0.179864233234344
"12",1.998,110,65,0,12,1.998,1,0,0,0,0,"s1",1.83408492303088,0.163915076969121
"13",2.204,110,65,0,13,2.204,1,0,0,0,0,"s1",2.08813965759282,0.115860342407178
"14",2.379,110,65,0,14,2.379,1,0,0,0,0,"s1",2.33428081016213,0.0447191898378683
"15",2.523,110,65,0,15,2.523,1,0,0,0,0,"s1",2.54756407151998,-0.02456407151998
"16",2.638,110,65,0,16,2.638,1,0,0,0,0,"s1",2.71355454605849,-0.0755545460584948
"17",2.726,110,65,0,17,2.726,1,0,0,0,0,"s1",2.83298033115656,-0.106980331156559
"18",2.791,110,65,0,18,2.791,1,0,0,0,0,"s1",2.91662780706109,-0.125627807061095
"19",2.838,110,65,0,19,2.838,1,0,0,0,0,"s1",2.97600559431937,-0.138005594319372
"20",2.873,110,65,0,20,2.873,1,0,0,0,0,"s1",3.02064035513146,-0.147640355131459
"21",2.873,110,65,0,21,2.873,1,0,0,0,0,"s1",3.0318109373352,-0.158810937335199
"22",2.897,110,65,0,22,2.897,1,0,0,0,0,"s1",3.06318940129904,-0.166189401299041
"23",2.916,110,65,0,23,2.916,1,0,0,0,0,"s1",3.08843800078632,-0.172438000786321
"24",2.932,110,65,0,24,2.932,1,0,0,0,0,"s1",3.10951726308984,-0.17751726308984
"25",2.947,110,65,0,25,2.947,1,0,0,0,0,"s1",3.12827073591087,-0.181270735910867
"26",2.968,110,65,0,26,2.968,1,0,0,0,0,"s1",3.15110912672165,-0.183109126721647
"27",2.992,110,65,0,27,2.992,1,0,0,0,0,"s1",3.17549690905954,-0.183496909059543
"28",3.022,110,65,0,28,3.022,1,0,0,0,0,"s1",3.20439037532821,-0.182390375328215
